icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
CSL3,16,34,46.62163908,-72.63358719,46.61736618,-72.6285778,0.0,0.0
CSL7,17,35,50.36747712,-103.74597446,50.36194184,-103.73666912,0,0
CSL7,8,26,50.36734897,-103.74641137,50.36734897,-103.73630968,0,0
CSM3,06,24,46.04719925,-71.26329803,46.05609894,-71.25109863,0.0,0.0
CSQ3,05,23,45.47669983,-72.31439972,45.48529816,-72.30639648,365.0,110.0
CSR3,06,24,46.105469,-71.939247,46.116367,-71.92408,0.0,0.0
CSR8,18,36,48.9233017,-79.18139648,48.91109848,-79.17579651,0.0,0.0
CST3,02,20,45.38737833,-74.13466938,45.39438322,-74.13299555,200,476
CST3,08,26,45.38827309,-74.14023418,45.39094648,-74.13217729,600,600
CSU3,02,20,45.60153081,-73.01570373,45.61195664,-73.01448805,420.0,0.0
CSY3,03,21,45.97470093,-73.04419708,45.98559952,-73.04060364,0.0,0.0
CTA4,10,28,47.44929886,-79.42710114,47.44929886,-79.4088974,0.0,0.0
CTG3,08,26,48.381001,-64.571899,48.385601,-64.556999,0.0,0.0
CTP9,11,29,61.66109209,-73.33993495,61.66340366,-73.3028484,0,0
CTT5,11,29,50.259899,-60.6824,50.2593,-60.6656,0.0,0.0
CTU2,09,27,54.55199858,-71.18455779,54.55585873,-71.16240756,0,0
CWC1,08,26,50.43972,-104.30923151,50.43972,-104.30354649,0,0
CWC1,10,28,50.42835191,-104.30718642,50.42689824,-104.29836305,0,0
CWC1,12,30,50.44049303,-104.30893409,50.43801696,-104.3037749,0,0
CYAB,13,31,73.00968933,-85.06182861,73.0030899,-85.03281403,0.0,0.0
CYAD,10,28,53.57151,-76.20812406,53.57210736,-76.18500808,0,0
CYAG,12,30,48.65800095,-93.44809723,48.6507988,-93.43299866,0.0,0.0
CYAH,09,27,53.75262776,-73.68703475,53.75651482,-73.664746,0,0
CYAL,09,27,50.58382636,-126.92187886,50.58081654,-126.90967429,3,0
CYAM,04,22,46.47818439,-84.51315458,46.49200108,-84.5002645,0.0,0.0
CYAM,12,30,46.48600769,-84.52088165,46.48096848,-84.49822235,0.0,0.0
CYAS,03,21,60.02249301,-70.00077149,60.03201899,-69.99758065,0,0
CYAT,06,24,52.924461,-82.437965,52.930725,-82.425987,0.0,0.0
CYAU,07,25,44.22710037,-64.86219788,44.23350143,-64.84999847,0.0,0.0
CYAV,04,22,50.05080032,-97.03559875,50.05609894,-97.02690125,0.0,0.0
CYAV,13,31,50.06140137,-97.03559875,50.05580139,-97.02610016,0.0,0.0
CYAV,18,36,50.06140137,-97.03679657,50.05350113,-97.03890228,0.0,0.0
CYAW,13,31,44.64072048,-63.50670071,44.63358086,-63.49771237,0,0
CYAX,18,36,50.29919815,-96.00920105,50.28919983,-96.01029968,0.0,0.0
CYAY,10,28,51.39089966,-56.09180069,51.39289856,-56.07450104,0.0,0.0
CYAZ,07,25,49.07590103,-125.78099823,49.07590103,-125.76000214,720.0,350.0
CYAZ,11,29,49.08250046,-125.78299713,49.07440186,-125.76599884,500.0,0.0
CYAZ,16,34,49.08940125,-125.78099823,49.07580185,-125.77899933,200.0,870.0
CYBA,18,36,51.21136389,-115.5386,51.20410277,-115.54313889,0,0
CYBB,05,23,68.53103995,-89.82037137,68.54078161,-89.79023596,0.0,0.0
CYBC,10,28,49.13104811,-68.21659499,49.13394021,-68.19191181,0.0,0.0
CYBD,05,23,52.38579941,-126.60399628,52.38940048,-126.58699799,0.0,115.0
CYBE,06,24,59.560001,-108.491997,59.562801,-108.471001,0.0,0.0
CYBF,08,26,54.30477457,-110.751663,54.30478417,-110.73089352,0.0,512.0
CYBG,11,29,48.33224734,-71.01671203,48.33170387,-70.97565335,0.0,0.0
CYBG,18,36,48.33836455,-70.99556613,48.32260523,-70.98821621,0.0,0.0
CYBK,16,34,64.30392202,-96.08138249,64.29310942,-96.07230795,0,0
CYBL,12,30,49.95833969,-125.28281403,49.94574356,-125.26329803,0.0,0.0
CYBP,02,20,50.6309708,-111.92885566,50.637065,-111.920868,0,0
CYBP,12,30,50.63739663,-111.93168334,50.630713,-111.922609,0,0
CYBQ,07,25,58.70447147,-98.52215091,58.70772747,-98.50216092,0,0
CYBR,08,26,49.90710068,-99.96589661,49.90750122,-99.93830109,0.0,0.0
CYBR,14,32,49.9136399,-99.94485236,49.9064007,-99.9381769,0.0,0.0
